JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,SLOPE,MAPE,ROC_BEGIN,ROC_THREE,KAPPA,SIM_TIME
200,0.902538348,0.911471186,0.85261461,0.338032815,0.184330214,0.052725439,0.001377303,67.86132987,6.569235748,-0.057587431,-0.001163342,2.5,39.79826951
198,0.968164295,0.963982808,0.882145427,0.360149192,0.162315155,0.071409236,0.001496714,69.46196339,6.571562432,-0.058160264,-1.896358165,2.5,36.00263882
202,0.912915079,0.966792956,0.826640684,0.393540954,0.182727521,0.076040432,0.00141023,68.32896195,6.576245085,-0.056979549,0.003504669,2,44.54290438
15,1.146302462,1.079738383,0.94661552,0.337379209,0.123787595,0.081640509,0.001347213,0.037760245,6.576554967,-0.818041396,-0.016347777,2,35.89076424
187,0.940615607,0.937983801,1.117276617,0.351994344,0.146446229,0.074089778,0.001487343,68.51670174,6.579650749,-0.061556364,-2.004950564,0,35.89549994
131,0.998034487,0.906664645,0.827255347,0.27765719,0.119647262,0.039420479,0.001330291,73.07049793,6.58010718,-0.088069441,-0.016109985,2,40.55182695
90,1.008870747,0.960131539,0.898957785,0.369481966,0.1787809,0.0508721,0.001456134,65.05498194,6.584202313,-0.128594744,0.011247233,2,35.75015378
19,1.084878902,0.970254457,0.952615652,0.319575565,0.141933906,0.041895065,0.001421661,0.036468198,6.584382527,-0.635819555,0.019892839,0.5,35.59255242
184,0.914113259,0.906887899,1.194687642,0.384562676,0.167860908,0.060540777,0.001430784,69.26130977,6.593654289,-0.062488963,-1.093306856,2.5,38.66364503
191,0.902976621,0.948111088,0.850674319,0.378871108,0.154645336,0.068766365,0.001361321,69.14098011,6.59419894,-0.060183871,-1.28403441,2.5,37.89354682
171,1.132531407,0.995263901,0.925953103,0.381595499,0.148373465,0.048365379,0.001344468,68.36381625,6.595195438,-0.067258465,-0.895941207,0,32.47805071
16,0.973991747,0.976612854,0.969076959,0.372058942,0.132442713,0.065550132,0.001303758,0.254981875,6.595284145,-0.762256691,-0.95552079,1.5,31.68155026
172,0.910317945,0.912065743,0.925710969,0.399093933,0.142598372,0.083925219,0.001384682,68.51991323,6.597773932,-0.066850062,-1.705259112,0,32.71069407
98,1.118057919,0.955571837,0.921048956,0.316595209,0.120817245,0.032885747,0.001416848,65.32389281,6.599838449,-0.117827794,0.023756394,1.5,37.27483273
194,1.026852849,0.953708823,0.872720228,0.369172683,0.148114911,0.055444122,0.001495487,68.73358837,6.60004056,-0.059218103,-0.786111238,1.5,34.0088532
126,1.119101417,0.911047933,0.857065893,0.366389108,0.120333561,0.078867888,0.001336285,77.98080892,6.601438527,-0.091421568,-5.043785159,0,36.28738379
27,1.135098968,0.933414756,0.84381015,0.336929281,0.137490047,0.037965056,0.001375591,1.320584961,6.601465626,-0.439525726,-2.009676686,2.5,35.71622396
22,1.242365257,0.933539886,2.122992718,0.339555286,0.106928615,0.044410199,0.001456112,0.147346858,6.601805049,-0.544158546,-1.30169764,2,29.56987238
144,0.954454876,1.023308754,0.860378937,0.351717244,0.125150958,0.072793538,0.001493003,70.66158176,6.602929737,-0.07990353,0.021896538,2.5,43.80441785
160,0.936893369,0.9789774,1.034270968,0.399208609,0.162722623,0.047808782,0.001343614,68.87682917,6.604054769,-0.071855847,-1.663746513,2.5,34.82384562
79,0.918454176,0.918017366,0.872239012,0.391680526,0.163793411,0.044351905,0.001400575,65.39597815,6.604346454,-0.146471642,-1.948277289,0,32.24332285
73,1.046783595,0.911995636,0.861894366,0.399212953,0.149044615,0.057400102,0.001431098,65.09516799,6.605115515,-0.158666931,-1.863164194,2.5,31.79890704
